City,State,State Code,Longitude,Latitude,City Population Density,City Population,State Population,Population Proportion-City in State,State GDP,State GDP Per Capita,NBA Team,NFL Team,NHL Team,MLB Team,MLS Team,Predicted Success Index
Henderson,Nevada,NV,-114.983,36.03,1155.0,317610.0,3104614.0,10.230257288023568,178199.4,57.39824660972346,0,0,0,0,0,6.6008453950245265
Macon,Georgia,GA,-83.628,32.838,244.0,157346.0,10711908.0,1.4688886424341958,625713.6,58.41289899054398,0,0,0,0,0,6.59681248457853
Joliet,Illinois,IL,-88.082,41.525,900.0,150362.0,12801989.0,1.1745206155074808,885583.0,69.17542266283779,0,0,0,0,0,6.579370977831452
Peoria,Illinois,IL,-89.591,40.693,910.0,113150.0,12801989.0,0.8838470334570667,885583.0,69.17542266283779,0,0,0,0,0,6.56501777261877
Springfield,Massachusetts,MA,-72.589,42.101,1887.0,155929.0,7029917.0,2.21807739693086,596593.1,84.86488531799166,0,0,0,0,0,6.564772093060044
Elgin,Illinois,IL,-88.284,42.037,1166.0,114797.0,12801989.0,0.8967122218274051,885583.0,69.17542266283779,0,0,0,0,0,6.563620198647481
Springfield,Illinois,IL,-89.655,39.801,723.0,114394.0,12801989.0,0.8935642734890649,885583.0,69.17542266283779,0,0,0,0,0,6.551831827275139
Augusta,Georgia,GA,-81.966,33.476,258.0,202081.0,10711908.0,1.8865079871858488,625713.6,58.41289899054398,0,0,0,0,0,6.540063600323993
Woodbridge,New Jersey,NJ,-74.301,40.564,1717.0,103639.0,9288994.0,1.1157182360113485,634783.6,68.33717407934594,0,0,0,0,0,6.520519744051532
Vancouver,Washington,WA,-122.677,45.63,1510.0,190915.0,7705281.0,2.4777162572007434,612996.5,79.55537247765527,0,0,0,0,0,6.485426257328467
Little Rock,Arkansas,AR,-92.288,34.747,652.0,202591.0,3011524.0,6.727191946668863,130954.1,43.484328864720986,0,0,0,0,0,6.484060224677409
Rio Rancho,New Mexico,NM,-106.656,35.241,388.0,104046.0,2117522.0,4.913573507146561,105143.4,49.65398234351285,0,0,0,0,0,6.4829644333569565
Savannah,Georgia,GA,-81.091,32.079,534.0,147780.0,10711908.0,1.37958615776013,625713.6,58.41289899054398,0,0,0,0,0,6.479439490253158
Lincoln,Nebraska,NE,-96.7,40.809,1150.0,291082.0,1961504.0,14.839735223583537,130011.8,66.28168996851396,0,0,0,0,0,6.471857662479921
Eugene,Oregon,OR,-123.093,44.05,1543.0,176654.0,4237256.0,4.169066018196682,253623.2,59.85552914433303,0,0,0,0,0,6.445122720393099
Jackson,Mississippi,MS,-90.186,32.3,531.0,153701.0,2961279.0,5.190358625445289,115971.3,39.162571307870685,0,0,0,0,0,6.436987770231757
Spokane Valley,Washington,WA,-117.24,47.657,1054.0,102976.0,7705281.0,1.336434063858281,612996.5,79.55537247765527,0,0,0,0,0,6.431308796069029
Roanoke,Virginia,VA,-79.939,37.272,908.0,100011.0,8631393.0,1.1586889856596727,556905.2,64.52089483122828,0,0,0,0,0,6.398456471647698
Newport News,Virginia,VA,-76.431,36.98,1042.0,186247.0,8631393.0,2.15778611864852,556905.2,64.52089483122828,0,0,0,0,0,6.388614376183654
Hampton,Virginia,VA,-76.344,37.026,1028.0,137148.0,8631393.0,1.5889439862140444,556905.2,64.52089483122828,0,0,0,0,0,6.376489367079028
Reno,Nevada,NV,-119.814,39.529,937.0,264165.0,3104614.0,8.508787243760416,178199.4,57.39824660972346,0,0,0,0,0,6.367034948789464
Edison,New Jersey,NJ,-74.387,40.512,1380.0,107588.0,9288994.0,1.1582309128415842,634783.6,68.33717407934594,0,0,0,0,0,6.322569921840122
Tacoma,Washington,WA,-122.44,47.253,1704.0,219346.0,7705281.0,2.846696960175755,612996.5,79.55537247765527,0,0,0,0,0,6.312369154068347
Salem,Oregon,OR,-123.032,44.939,1389.0,175535.0,4237256.0,4.142657417913857,253623.2,59.85552914433303,0,0,0,0,0,6.194728473841165
Everett,Washington,WA,-122.202,47.979,1286.0,110629.0,7705281.0,1.4357555551835164,612996.5,79.55537247765527,0,0,0,0,0,6.170684417889429
Kent,Washington,WA,-122.231,47.381,1560.0,136588.0,7705281.0,1.7726543652334028,612996.5,79.55537247765527,0,0,0,0,0,6.169115284777014
Virginia Beach,Virginia,VA,-75.974,36.845,725.0,459470.0,8631393.0,5.323242725710671,556905.2,64.52089483122828,0,0,0,0,0,6.131876736887185
Gresham,Oregon,OR,-122.431,45.498,1877.0,114247.0,4237256.0,2.696249648357333,253623.2,59.85552914433303,0,0,0,0,0,6.107206680231507
Bellevue,Washington,WA,-122.202,47.617,1750.0,151854.0,7705281.0,1.9707782234028848,612996.5,79.55537247765527,0,0,0,0,0,6.105204830778756
Fargo,North Dakota,ND,-96.788,46.874,980.0,125990.0,779094.0,16.171347744944768,57180.9,73.39409621945491,0,0,0,0,0,6.081111293347162
Waterbury,Connecticut,CT,-73.043,41.554,1550.0,114403.0,3605944.0,3.1726227584233144,287822.2,79.81882136827416,0,0,0,0,0,6.078117837787533
Stamford,Connecticut,CT,-73.567,41.124,1391.0,135470.0,3605944.0,3.756852574526948,287822.2,79.81882136827416,0,0,0,0,0,6.045017674555538
Chesapeake,Virginia,VA,-76.271,36.809,285.0,249422.0,8631393.0,2.889707374000929,556905.2,64.52089483122828,0,0,0,0,0,6.029743226136598
Federal Way,Washington,WA,-122.313,47.315,1750.0,101030.0,7705281.0,1.3111786578581626,612996.5,79.55537247765527,0,0,0,0,0,6.000546260490282
Renton,Washington,WA,-122.208,47.48,1754.0,106785.0,7705281.0,1.3858676925604658,612996.5,79.55537247765527,0,0,0,0,0,5.993839068911302
Hillsboro,Oregon,OR,-122.99,45.523,1599.0,106447.0,4237256.0,2.512168252284025,253623.2,59.85552914433303,0,0,0,0,0,5.920750604638955
Sioux Falls,South Dakota,SD,-96.727,43.547,940.0,192517.0,886667.0,21.71243544645284,54940.9,61.96339775812115,0,0,0,0,0,5.914582750189278
Billings,Montana,MT,-108.507,45.783,1009.0,117116.0,1084225.0,10.801816966035648,52934.6,48.82252300029975,0,0,0,0,0,5.776004633499367
Manchester,New Hampshire,NH,-71.463,42.991,1349.0,115644.0,1377529.0,8.395031973918517,87634.1,63.616882112826666,0,0,0,0,0,5.193395811194986
Omaha,Nebraska,NE,-95.94,41.26,1325.0,486051.0,1961504.0,24.7795059301434,130011.8,66.28168996851396,0,0,0,0,0,4.699323018621877
Boise,Idaho,ID,-116.202,43.615,1083.0,235684.0,1839106.0,12.81513952974978,83665.5,45.49248384813056,0,0,0,0,0,4.099597249852958
Providence,Rhode Island,RI,-71.413,41.824,4007.0,190934.0,1097379.0,17.39909365861749,61883.8,56.39236763233122,0,0,0,0,0,3.463222650419813
Meridian,Idaho,ID,-116.392,43.605,1294.0,117635.0,1839106.0,6.396314296185211,83665.5,45.49248384813056,0,0,0,0,0,3.0967361708674845
Nampa,Idaho,ID,-116.562,43.579,1155.0,100200.0,1839106.0,5.448299336742961,83665.5,45.49248384813056,0,0,0,0,0,2.8284017448032635
Honolulu,Hawaii,HI,-157.86,21.306,2240.0,350964.0,1455271.0,24.116745266002003,95744.3,65.79138868293259,0,0,0,0,0,1.9651365752348737
Paterson,New Jersey,NJ,-74.172,40.917,7342.0,159732.0,9288994.0,1.7195834123695204,634783.6,68.33717407934594,0,0,0,0,0,0.8016622562036402
Jersey City,New Jersey,NJ,-74.063,40.732,7681.0,292449.0,9288994.0,3.148338775975095,634783.6,68.33717407934594,0,0,0,0,0,0.0
